2.814054960000000,SPI,MOSI: 0x02;  MISO: 0x00
2.814073840000000,SPI,MOSI: 0x24;  MISO: 0x2E-WRITE_REGISTER-SETUP_RETR
2.814083640000000,SPI,MOSI: 0x00;  MISO: 0x00
2.814102560000000,SPI,MOSI: 0x26;  MISO: 0x2E-WRITE_REGISTER-RF_SETUP
2.814112320000000,SPI,MOSI: 0x24;  MISO: 0x00
2.814131240000000,SPI,MOSI: 0x20;  MISO: 0x2E-WRITE_REGISTER-CONFIG
2.814141000000000,SPI,MOSI: 0x5E;  MISO: 0x00
2.814159920000000,SPI,MOSI: 0x31;  MISO: 0x2E-WRITE_REGISTER-RX_PW_P0
2.814169680000000,SPI,MOSI: 0x04;  MISO: 0x00
2.814184920000000,SPI,MOSI: 0x25;  MISO: 0x2E-WRITE_REGISTER-RF_CH
2.814194960000000,SPI,MOSI: 0x19;  MISO: 0x00
2.814209480000000,SPI,MOSI: 0xE1;  MISO: 0x2E-FLUSH_TX-
2.814227640000000,SPI,MOSI: 0x27;  MISO: 0x2E-WRITE_REGISTER-STATUS
2.814237400000000,SPI,MOSI: 0xF0;  MISO: 0x00
2.814252440000000,SPI,MOSI: 0xA0;  MISO: 0x0E-WRITE_TX_PAYLOAD-
2.814262440000000,SPI,MOSI: 0xFA;  MISO: 0x00
2.814272480000000,SPI,MOSI: 0xFD;  MISO: 0x00
2.814282480000000,SPI,MOSI: 0x90;  MISO: 0x00
2.814292520000000,SPI,MOSI: 0xFF;  MISO: 0x00
2.814302520000000,SPI,MOSI: 0x75;  MISO: 0x00
2.815920120000000,SPI,MOSI: 0xE1;  MISO: 0x2E-FLUSH_TX-
2.815938280000000,SPI,MOSI: 0x27;  MISO: 0x2E-WRITE_REGISTER-STATUS
2.815948080000000,SPI,MOSI: 0xF0;  MISO: 0x00
2.815963080000000,SPI,MOSI: 0xA0;  MISO: 0x0E-WRITE_TX_PAYLOAD-
2.815973120000000,SPI,MOSI: 0xFA;  MISO: 0x00
2.815983120000000,SPI,MOSI: 0xFD;  MISO: 0x00
2.815993120000000,SPI,MOSI: 0x90;  MISO: 0x00
2.816003160000000,SPI,MOSI: 0xFF;  MISO: 0x00
2.816013160000000,SPI,MOSI: 0x75;  MISO: 0x00
2.832186200000000,SPI,MOSI: 0x21;  MISO: 0x2E-WRITE_REGISTER-EN_AA
2.832195960000000,SPI,MOSI: 0x00;  MISO: 0x00
2.832214880000000,SPI,MOSI: 0x22;  MISO: 0x2E-WRITE_REGISTER-EN_RXADDR
2.832224640000000,SPI,MOSI: 0x01;  MISO: 0x00
2.832243520000000,SPI,MOSI: 0x23;  MISO: 0x2E-WRITE_REGISTER-SETUP_AW
2.832253280000000,SPI,MOSI: 0x02;  MISO: 0x00
2.832272160000000,SPI,MOSI: 0x24;  MISO: 0x2E-WRITE_REGISTER-SETUP_RETR
2.832281920000000,SPI,MOSI: 0x00;  MISO: 0x00
2.832300800000000,SPI,MOSI: 0x26;  MISO: 0x2E-WRITE_REGISTER-RF_SETUP
2.832310560000000,SPI,MOSI: 0x24;  MISO: 0x00
2.832329480000000,SPI,MOSI: 0x20;  MISO: 0x2E-WRITE_REGISTER-CONFIG
2.832339240000000,SPI,MOSI: 0x5E;  MISO: 0x00
2.832358120000000,SPI,MOSI: 0x31;  MISO: 0x2E-WRITE_REGISTER-RX_PW_P0
2.832367880000000,SPI,MOSI: 0x04;  MISO: 0x00
2.832383160000000,SPI,MOSI: 0x25;  MISO: 0x2E-WRITE_REGISTER-RF_CH
2.832393160000000,SPI,MOSI: 0x38;  MISO: 0x00
2.832407640000000,SPI,MOSI: 0xE1;  MISO: 0x2E-FLUSH_TX-
2.832425800000000,SPI,MOSI: 0x27;  MISO: 0x2E-WRITE_REGISTER-STATUS
2.832435560000000,SPI,MOSI: 0xF0;  MISO: 0x00
2.832450600000000,SPI,MOSI: 0xA0;  MISO: 0x0E-WRITE_TX_PAYLOAD-
2.832460600000000,SPI,MOSI: 0xF9;  MISO: 0x00
2.832470600000000,SPI,MOSI: 0xFD;  MISO: 0x00
2.832480640000000,SPI,MOSI: 0x90;  MISO: 0x00
2.832490640000000,SPI,MOSI: 0xFF;  MISO: 0x00
2.832500680000000,SPI,MOSI: 0x75;  MISO: 0x00
2.834118600000000,SPI,MOSI: 0xE1;  MISO: 0x2E-FLUSH_TX-
2.834136760000000,SPI,MOSI: 0x27;  MISO: 0x2E-WRITE_REGISTER-STATUS
2.834146480000000,SPI,MOSI: 0xF0;  MISO: 0x00
2.834161520000000,SPI,MOSI: 0xA0;  MISO: 0x0E-WRITE_TX_PAYLOAD-
2.834171520000000,SPI,MOSI: 0xF9;  MISO: 0x00
2.834181520000000,SPI,MOSI: 0xFD;  MISO: 0x00
2.834191520000000,SPI,MOSI: 0x90;  MISO: 0x00
2.834201520000000,SPI,MOSI: 0xFF;  MISO: 0x00
2.834211520000000,SPI,MOSI: 0x75;  MISO: 0x00
2.850387920000000,SPI,MOSI: 0x21;  MISO: 0x2E-WRITE_REGISTER-EN_AA
2.850397680000000,SPI,MOSI: 0x00;  MISO: 0x00
2.850416600000000,SPI,MOSI: 0x22;  MISO: 0x2E-WRITE_REGISTER-EN_RXADDR
2.850426360000000,SPI,MOSI: 0x01;  MISO: 0x00
2.850445280000000,SPI,MOSI: 0x23;  MISO: 0x2E-WRITE_REGISTER-SETUP_AW
2.850455040000000,SPI,MOSI: 0x02;  MISO: 0x00
2.850473960000000,SPI,MOSI: 0x24;  MISO: 0x2E-WRITE_REGISTER-SETUP_RETR
2.850483720000000,SPI,MOSI: 0x00;  MISO: 0x00
2.850502640000000,SPI,MOSI: 0x26;  MISO: 0x2E-WRITE_REGISTER-RF_SETUP
2.850512400000000,SPI,MOSI: 0x24;  MISO: 0x00
2.850531280000000,SPI,MOSI: 0x20;  MISO: 0x2E-WRITE_REGISTER-CONFIG
2.850541040000000,SPI,MOSI: 0x5E;  MISO: 0x00
2.850559960000000,SPI,MOSI: 0x31;  MISO: 0x2E-WRITE_REGISTER-RX_PW_P0
2.850569720000000,SPI,MOSI: 0x04;  MISO: 0x00
2.850585000000000,SPI,MOSI: 0x25;  MISO: 0x2E-WRITE_REGISTER-RF_CH
2.850595000000000,SPI,MOSI: 0x10;  MISO: 0x00
2.850609520000000,SPI,MOSI: 0xE1;  MISO: 0x2E-FLUSH_TX-
2.850627640000000,SPI,MOSI: 0x27;  MISO: 0x2E-WRITE_REGISTER-STATUS
2.850637400000000,SPI,MOSI: 0xF0;  MISO: 0x00
2.850652440000000,SPI,MOSI: 0xA0;  MISO: 0x0E-WRITE_TX_PAYLOAD-
2.850662480000000,SPI,MOSI: 0xF9;  MISO: 0x00
2.850672480000000,SPI,MOSI: 0xFD;  MISO: 0x00
2.850682480000000,SPI,MOSI: 0x90;  MISO: 0x00
2.850692520000000,SPI,MOSI: 0xFF;  MISO: 0x00
2.850702520000000,SPI,MOSI: 0x75;  MISO: 0x00
2.852320320000000,SPI,MOSI: 0xE1;  MISO: 0x2E-FLUSH_TX-
2.852338480000000,SPI,MOSI: 0x27;  MISO: 0x2E-WRITE_REGISTER-STATUS
2.852348240000000,SPI,MOSI: 0xF0;  MISO: 0x00
2.852363280000000,SPI,MOSI: 0xA0;  MISO: 0x0E-WRITE_TX_PAYLOAD-
2.852373280000000,SPI,MOSI: 0xF9;  MISO: 0x00
2.852383280000000,SPI,MOSI: 0xFD;  MISO: 0x00
2.852393320000000,SPI,MOSI: 0x90;  MISO: 0x00
2.852403320000000,SPI,MOSI: 0xFF;  MISO: 0x00
2.852413320000000,SPI,MOSI: 0x75;  MISO: 0x00
2.868582120000000,SPI,MOSI: 0x21;  MISO: 0x2E-WRITE_REGISTER-EN_AA
2.868591880000000,SPI,MOSI: 0x00;  MISO: 0x00
2.868610760000000,SPI,MOSI: 0x22;  MISO: 0x2E-WRITE_REGISTER-EN_RXADDR
2.868620520000000,SPI,MOSI: 0x01;  MISO: 0x00
2.868639400000000,SPI,MOSI: 0x23;  MISO: 0x2E-WRITE_REGISTER-SETUP_AW
2.868649160000000,SPI,MOSI: 0x02;  MISO: 0x00
2.868668040000000,SPI,MOSI: 0x24;  MISO: 0x2E-WRITE_REGISTER-SETUP_RETR
2.868677800000000,SPI,MOSI: 0x00;  MISO: 0x00
2.868696680000000,SPI,MOSI: 0x26;  MISO: 0x2E-WRITE_REGISTER-RF_SETUP
2.868706440000000,SPI,MOSI: 0x24;  MISO: 0x00
2.868725360000000,SPI,MOSI: 0x20;  MISO: 0x2E-WRITE_REGISTER-CONFIG
2.868735120000000,SPI,MOSI: 0x5E;  MISO: 0x00
2.868754000000000,SPI,MOSI: 0x31;  MISO: 0x2E-WRITE_REGISTER-RX_PW_P0
2.868763760000000,SPI,MOSI: 0x04;  MISO: 0x00
2.868779000000000,SPI,MOSI: 0x25;  MISO: 0x2E-WRITE_REGISTER-RF_CH
2.868789000000000,SPI,MOSI: 0x13;  MISO: 0x00
2.868803520000000,SPI,MOSI: 0xE1;  MISO: 0x2E-FLUSH_TX-
2.868821640000000,SPI,MOSI: 0x27;  MISO: 0x2E-WRITE_REGISTER-STATUS
2.868831400000000,SPI,MOSI: 0xF0;  MISO: 0x00
2.868846400000000,SPI,MOSI: 0xA0;  MISO: 0x0E-WRITE_TX_PAYLOAD-
2.868856440000000,SPI,MOSI: 0xF9;  MISO: 0x00
2.868866440000000,SPI,MOSI: 0xFD;  MISO: 0x00
2.868876440000000,SPI,MOSI: 0x90;  MISO: 0x00
2.868886440000000,SPI,MOSI: 0xFF;  MISO: 0x00
2.868896440000000,SPI,MOSI: 0x75;  MISO: 0x00
2.870513600000000,SPI,MOSI: 0xE1;  MISO: 0x2E-FLUSH_TX-
2.870531720000000,SPI,MOSI: 0x27;  MISO: 0x2E-WRITE_REGISTER-STATUS
2.870541480000000,SPI,MOSI: 0xF0;  MISO: 0x00
